epoch,batch,OverallScore,Column Shapes,Column Pair Trends
100,1000,0.796454801588119,0.7745626186445026,0.8183469845317354
50,20,0.8500941416536607,0.838156072033246,0.8620322112740754
5,100,0.8212529205531682,0.8224565183931044,0.8200493227132322
1000,100,0.848615191168349,0.8500461751577651,0.8471842071789328
500,100,0.8671184555919103,0.8658611666923196,0.8683757444915009
250,20,0.8787120205329921,0.8766610230362731,0.8807630180297112
25,50,0.8101068269629046,0.7976758503924888,0.8225378035333203
10,50,0.7886288758726128,0.7597224359961007,0.817535315749125
500,20,0.882450639379514,0.8935919142168179,0.8713093645422099
5,50,0.7824104187394629,0.7489097532194345,0.8159110842594912
500,1000,0.8717553024199676,0.8877174080344775,0.8557931968054577
100,20,0.8564420426924069,0.8623210712636601,0.8505630141211538
500,500,0.8808314542446676,0.8946180288338207,0.8670448796555145
250,1000,0.8196155517664465,0.807526550715715,0.8317045528171781
50,500,0.7743581054086819,0.7264121902416499,0.8223040205757137
25,1000,0.7734117084478138,0.7343902313888462,0.8124331855067815
10,500,0.7617695362502799,0.7100841413985943,0.8134549311019653
250,500,0.8602432420918802,0.8715561028166845,0.8489303813670759
1,1000,0.8099799244230442,0.8150941460161097,0.8048657028299787
1,20,0.7857689495380429,0.7563234313272793,0.8152144677488066
50,1000,0.8116936340460965,0.8087322353906932,0.8146550327014997
100,500,0.8022604186130242,0.7802960340670052,0.8242248031590433
250,100,0.8703894293861554,0.878097583500077,0.8626812752722336
1000,20,0.8806902291012497,0.8876789287363399,0.8737015294661594
10,20,0.8207471339142833,0.8224565183931046,0.819037749435462
5,20,0.7694658863043418,0.7265917602996255,0.8123400123090582
25,20,0.8284956966028298,0.8319609050330922,0.8250304881725674
25,100,0.7960205204073278,0.7736134626237751,0.8184275781908805
1,500,0.785031030614854,0.7651223641680774,0.8049396970616307
5,500,0.786848507602152,0.7535785747267969,0.820118440477507
1000,1000,0.8899428210509854,0.902429326355754,0.877456315746217
10,1000,0.7709225732545577,0.7331717202811552,0.8086734262279601
1,50,0.7853488325272324,0.7557205889897903,0.8149770760646746
50,100,0.8180345892318729,0.8139782463701196,0.8220909320936262
1,100,0.7756184560634961,0.7359807090452003,0.8152562030817919
500,50,0.881208973524666,0.8859986660509979,0.8764192809983341
25,500,0.7723332829874552,0.7286055102354932,0.816061055739417
250,50,0.8714923408444153,0.880791134369709,0.8621935473191217
10,100,0.7618438827604932,0.7120209327381869,0.8116668327827995
1000,500,0.88180730505582,0.893758657842081,0.8698559522695588
100,100,0.8325691615617132,0.8432609922528348,0.8218773308705917
5,1000,0.7960448307071654,0.7759735262428814,0.8161161351714493
100,50,0.8716304720168223,0.8766225437381355,0.8666384002955091
50,50,0.8429226555212853,0.8544071622800268,0.8314381487625438
1000,50,0.8951158265664063,0.9076112051716176,0.882620447961195
