term,estimate,std.error,statistic,p.value
(Intercept),-4.96015453802637,0.253837319165328,-19.5406828055718,4.95154043607753e-85
age,0.0213810647271109,0.00141352716314529,15.1260373939579,1.09068206765201e-51
workclassFederal-gov,0.475829091979629,0.155721349390787,3.05564454611502,0.00224577323285737
workclassLocal-gov,-0.057464370459988,0.15121229135664,-0.380024467220434,0.703927253028546
workclassNever-worked,0.380927361018288,0.295185430987742,1.29046802799054,0.196888205729522
workclassPrivate,-0.269983002236028,0.136991372513115,-1.97080295848689,0.0487464181886444
workclassSelf-emp-inc,0.416069827800775,0.154216361961567,2.69796163330882,0.00697654806967009
workclassSelf-emp-not-inc,-0.239625624741961,0.144233444111763,-1.66137351997419,0.0966384526133754
workclassState-gov,-0.177472175442532,0.144553170962716,-1.22772938331672,0.219548572309256
workclassWithout-pay,-2.15056792178143,0.335384405466644,-6.41224781691682,1.43389496828939e-10
education11th,0.125131647598516,0.166074948613864,0.753464918357167,0.4511705848556
education12th,0.0247567276732362,0.213669773180722,0.11586443559472,0.907759982096756
education1st-4th,-0.165457293156083,0.262680636925809,-0.62988005165685,0.528773065313603
education5th-6th,-0.105678544497034,0.222506731330878,-0.474945381943907,0.634825903612755
education7th-8th,-0.161715028513153,0.166774923351731,-0.969660337796066,0.332215826445206
education9th,0.110517141756254,0.18463785021308,0.59856167968113,0.549465216340712
educationAssoc-acdm,-0.0214080778892959,0.15728497191909,-0.136110129455397,0.891734219905895
educationAssoc-voc,0.574211342325409,0.155262699903285,3.69832124961817,0.000217030104882308
educationBachelors,0.892650222788034,0.148831006305542,5.99774364862836,2.00078035851672e-09
educationDoctorate,1.33090567976881,0.203228870346703,6.54880223217459,5.80003786837096e-11
educationHS-grad,0.718017850611662,0.132768867747238,5.40802872536809,6.37222062876515e-08
educationMasters,1.0771567198438,0.160174770167799,6.72488381731637,1.75732604800613e-11
educationPreschool,-1.13718908341054,0.42991802627199,-2.64513003390813,0.0081659529699131
educationProf-school,1.21657407346999,0.17895768361821,6.79811030671048,1.06000285506866e-11
educationSome-college,1.31815821872391,0.136116830912169,9.68402077752218,3.52570854391876e-22
education_num,0.114543214367496,0.0113025161707116,10.1343110363614,3.89106791087407e-24
marital_statusMarried-AF-spouse,1.37112805248593,0.174841112687117,7.84213753512082,4.42940828192672e-15
marital_statusMarried-civ-spouse,1.17598469906339,0.0868289100373121,13.5436998870312,8.63288295198617e-42
marital_statusMarried-spouse-absent,0.00130076754643703,0.131037603406142,0.00992667381442707,0.992079790298286
marital_statusNever-married,-0.287976781241961,0.0619106031922934,-4.65149370855764,3.29539330293527e-06
marital_statusSeparated,-0.0978735118291309,0.11922621089598,-0.820905999558446,0.411699813418538
marital_statusWidowed,0.280041500202801,0.0830561347120836,3.37171361481692,0.000747020825445189
occupationAdm-clerical,-0.346414635090445,0.145254959139458,-2.3848730338897,0.0170850167260836
occupationArmed-Forces,-0.0368531442045424,0.363150206174745,-0.101481820959807,0.919167987824896
occupationCraft-repair,-0.724957692742409,0.149161055052586,-4.86023441230575,1.17246840136051e-06
occupationExec-managerial,0.359765517247915,0.138701846476804,2.5938048150504,0.00949203570636043
occupationFarming-fishing,-1.66154333632965,0.174742260126972,-9.50853751761208,1.93361742020716e-21
occupationHandlers-cleaners,-0.751995586506001,0.145971948698879,-5.15164449888429,2.58212157804203e-07
occupationMachine-op-inspct,-0.519492766288603,0.144535886474336,-3.59421302875424,0.000325373544108007
occupationOther-service,-1.08157817611759,0.162639644690879,-6.65015087910022,2.92792718097776e-11
occupationPriv-house-serv,-0.704464897284097,0.273060941027066,-2.57988159944952,0.00988341949853564
occupationProf-specialty,0.332843418963657,0.138943617310575,2.39552867131468,0.0165964161913672
occupationProtective-serv,-0.266575842661152,0.170991340147145,-1.55900200812365,0.118995904872732
occupationSales,-0.146835718803874,0.145773446336977,-1.00728714655234,0.313796804739044
occupationTech-support,0.072754418198189,0.163066962952002,0.446162833238049,0.655479628062191
occupationTransport-moving,-0.592927640544066,0.154093936840203,-3.84783238524782,0.000119167537080826
relationshipNot-in-family,-0.951465550599997,0.0831396009898452,-11.44419192866,2.51436381328734e-30
relationshipOther-relative,-0.848985550507725,0.107087269516512,-7.92797831470356,2.22742192894818e-15
relationshipOwn-child,-1.36423500944827,0.104156385835202,-13.0979488056238,3.38276622298735e-39
relationshipUnmarried,-1.0331290895059,0.0968200384147891,-10.6706122660254,1.39702776448726e-26
relationshipWife,0.409161332024726,0.0675678683781212,6.05556075463252,1.39929348428983e-09
raceAsian-Pac-Islander,0.662501255764474,0.157809654995767,4.19810344165726,2.69159686598777e-05
raceBlack,0.742319174290219,0.138507013606654,5.35943382909353,8.34831640362447e-08
raceOther,0.663799753856007,0.177064686916167,3.74891100770584,0.000177604088390773
raceWhite,0.846862903112906,0.127378277335164,6.64840913874664,2.96277786032676e-11
sexMale,0.114548607110604,0.0460287491133751,2.48863176421449,0.0128235708757237
native_countryCambodia,0.0522865923036368,0.276629966835361,0.189012755565834,0.850082819494024
native_countryCanada,0.127495236052857,0.203597804197865,0.626211252892257,0.531176387281179
native_countryChina,0.174884392615598,0.211885251109406,0.82537312861525,0.409159785833091
native_countryColumbia,-0.17347535533064,0.29064912131064,-0.596854910650954,0.550604253255189
native_countryCuba,-0.274658359289736,0.246146856072107,-1.11583127110621,0.264494365514248
native_countryDominican-Republic,-1.04745049113879,0.356031375397969,-2.94201737127228,0.00326081634539117
native_countryEcuador,-0.440481205885465,0.337633564496124,-1.30461320260866,0.192024590324584
native_countryEl-Salvador,-0.357770421462918,0.281360648112183,-1.27157235336005,0.203525104881487
native_countryEngland,0.655652086446115,0.206695369549282,3.17206954309535,0.00151356757592849
native_countryFrance,0.606902752023592,0.284900087502017,2.13023013557093,0.0331526182467505
native_countryGermany,0.226371107466453,0.183174756526791,1.23582043595262,0.216525316955335
native_countryGreece,-0.497524388914475,0.310687493881809,-1.60136599867049,0.109295878983463
native_countryGuatemala,0.133612855296161,0.244183830201694,0.54718142141434,0.584254098663253
native_countryHaiti,0.0881470352133224,0.277080177778419,0.318128261357669,0.750387646901439
native_countryHoland-Netherlands,-1.1430284903368,1.10763695158204,-1.03195229150148,0.302094467603453
native_countryHonduras,-0.975486252430645,0.391711569343439,-2.49031769489395,0.0127628953709615
